Scientific (AviList),English (AviList)
Leuconotopicus stricklandi,Strickland's Woodpecker
Leuconotopicus arizonae,Arizona Woodpecker
Leuconotopicus arizonae arizonae,
Leuconotopicus arizonae fraterculus,
Veniliornis,
Veniliornis kirkii,Red-rumped Woodpecker
Veniliornis kirkii neglectus,
Veniliornis kirkii cecilii,
Veniliornis kirkii continentalis,
Veniliornis kirkii monticola,
Veniliornis kirkii kirkii,
Veniliornis cassini,Golden-collared Woodpecker
Veniliornis spilogaster,White-spotted Woodpecker
Veniliornis mixtus,Checkered Woodpecker
Veniliornis mixtus cancellatus,
Veniliornis mixtus mixtus,
Veniliornis mixtus malleator,
Veniliornis mixtus berlepschi,
Veniliornis lignarius,Striped Woodpecker
Veniliornis sanguineus,Blood-colored Woodpecker
Veniliornis passerinus,Little Woodpecker
Veniliornis passerinus fidelis,
Veniliornis passerinus modestus,
Veniliornis passerinus diversus,
Veniliornis passerinus agilis,
Veniliornis passerinus insignis,
Veniliornis passerinus tapajozensis,
Veniliornis passerinus passerinus,
Veniliornis passerinus taenionotus,
Veniliornis passerinus olivinus,
Veniliornis frontalis,Dot-fronted Woodpecker
Veniliornis callonotus,Scarlet-backed Woodpecker
Veniliornis callonotus callonotus,
Veniliornis callonotus major,
Veniliornis dignus,Yellow-vented Woodpecker
Veniliornis dignus dignus,
Veniliornis dignus baezae,
Veniliornis dignus valdizani,
Veniliornis nigriceps,Bar-bellied Woodpecker
Veniliornis nigriceps equifasciatus,
Veniliornis nigriceps pectoralis,
Veniliornis nigriceps nigriceps,
Veniliornis affinis,Red-stained Woodpecker
Veniliornis affinis orenocensis,
Veniliornis affinis hilaris,
Veniliornis affinis ruficeps,
Veniliornis affinis affinis,
Veniliornis chocoensis,Choco Woodpecker
Veniliornis maculifrons,Yellow-eared Woodpecker
Cariamiformes,
Cariamidae,
Cariama,
Cariama cristata,Red-legged Seriema
Chunga,
Chunga burmeisteri,Black-legged Seriema
Falconiformes,
Falconidae,
Herpetotheres,
Herpetotheres cachinnans,Laughing Falcon
Herpetotheres cachinnans cachinnans,
Herpetotheres cachinnans fulvescens,
Micrastur,
Micrastur buckleyi,Buckley's Forest Falcon
Micrastur semitorquatus,Collared Forest Falcon
Micrastur semitorquatus naso,
Micrastur semitorquatus semitorquatus,
Micrastur mirandollei,Slaty-backed Forest Falcon
Micrastur ruficollis,Barred Forest Falcon
Micrastur ruficollis guerilla,
Micrastur ruficollis interstes,
Micrastur ruficollis zonothorax,
Micrastur ruficollis concentricus,
Micrastur ruficollis ruficollis,
Micrastur ruficollis olrogi,
Micrastur mintoni,Cryptic Forest Falcon
Micrastur plumbeus,Plumbeous Forest Falcon
Micrastur gilvicollis,Lined Forest Falcon
Spiziapteryx,
Spiziapteryx circumcincta,Spot-winged Falconet
Caracara,
Caracara lutosa,Guadalupe Caracara
Caracara plancus,Crested Caracara
Caracara plancus cheriway,
Caracara plancus plancus,
Ibycter,
Ibycter americanus,Red-throated Caracara
Daptrius,
Daptrius chimachima,Yellow-headed Caracara
Daptrius chimachima cordatus,
Daptrius chimachima chimachima,
Daptrius ater,Black Caracara
Daptrius chimango,Chimango Caracara
Daptrius chimango chimango,
Daptrius chimango temucoensis,
Daptrius carunculatus,Carunculated Caracara
Daptrius megalopterus,Mountain Caracara
Daptrius albogularis,White-throated Caracara
Daptrius australis,Striated Caracara
Polihierax,
Polihierax semitorquatus,Pygmy Falcon
Polihierax semitorquatus castanonotus,
Polihierax semitorquatus semitorquatus,
Microhierax,
Microhierax erythrogenys,Philippine Falconet
Microhierax erythrogenys erythrogenys,
Microhierax erythrogenys meridionalis,
Microhierax melanoleucos,Pied Falconet
Microhierax caerulescens,Collared Falconet
Microhierax caerulescens caerulescens,
Microhierax caerulescens burmanicus,
Microhierax fringillarius,Black-thighed Falconet
Microhierax latifrons,White-fronted Falconet
Neohierax,
Neohierax insignis,White-rumped Falcon
Neohierax insignis insignis,
Neohierax insignis cinereiceps,
Neohierax insignis harmandi,
Falco,
Falco zoniventris,Banded Kestrel
Falco naumanni,Lesser Kestrel
Falco alopex,Fox Kestrel
Falco rupicoloides,Greater Kestrel
Falco rupicoloides fieldi,
Falco rupicoloides arthuri,
Falco rupicoloides rupicoloides,
Falco punctatus,Mauritius Kestrel
Falco duboisi,Reunion Kestrel
Falco araeus,Seychelles Kestrel
Falco newtoni,Malagasy Kestrel
Falco newtoni newtoni,
Falco newtoni aldabranus,
Falco rupicolus,Rock Kestrel
Falco cenchroides,Nankeen Kestrel
Falco cenchroides baru,
Falco cenchroides cenchroides,
Falco moluccensis,Spotted Kestrel
Falco moluccensis moluccensis,
Falco moluccensis microbalius,
Falco tinnunculus,Common Kestrel
Falco tinnunculus tinnunculus,
Falco tinnunculus perpallidus,
Falco tinnunculus interstinctus,
Falco tinnunculus objurgatus,
Falco tinnunculus canariensis,
Falco tinnunculus dacotiae,
Falco tinnunculus neglectus,
Falco tinnunculus alexandri,
Falco tinnunculus rupicolaeformis,
Falco tinnunculus archeri,
Falco tinnunculus rufescens,
Falco sparverius,American Kestrel
Falco sparverius sparverius,
Falco sparverius paulus,
Falco sparverius peninsularis,
Falco sparverius tropicalis,
Falco sparverius nicaraguensis,
Falco sparverius sparverioides,
Falco sparverius dominicensis,
Falco sparverius caribaearum,
Falco sparverius brevipennis,
Falco sparverius isabellinus,
Falco sparverius ochraceus,
Falco sparverius caucae,
Falco sparverius aequatorialis,
Falco sparverius peruvianus,
Falco sparverius cinnamominus,
Falco sparverius fernandensis,
Falco sparverius cearae,
Falco vespertinus,Red-footed Falcon
Falco amurensis,Amur Falcon
Falco columbarius,Merlin
Falco columbarius subaesalon,
Falco columbarius aesalon,
Falco columbarius insignis,
Falco columbarius pacificus,
Falco columbarius pallidus,
Falco columbarius lymani,
Falco columbarius columbarius,
Falco columbarius suckleyi,
Falco columbarius richardsonii,
Falco ardosiaceus,Grey Kestrel
Falco dickinsoni,Dickinson's Kestrel
Falco berigora,Brown Falcon
Falco berigora novaeguineae,
Falco berigora berigora,
Falco deiroleucus,Orange-breasted Falcon
Falco rufigularis,Bat Falcon
Falco rufigularis petoensis,
Falco rufigularis rufigularis,
Falco rufigularis ophryophanes,
Falco longipennis,Australian Hobby
Falco longipennis hanieli,
Falco longipennis longipennis,
Falco longipennis murchisonianus,
Falco severus,Oriental Hobby
Falco eleonorae,Eleonora's Falcon
Falco concolor,Sooty Falcon
Falco cuvierii,African Hobby
Falco subbuteo,Eurasian Hobby
Falco subbuteo subbuteo,
Falco subbuteo streichi,
Falco novaeseelandiae,New Zealand Falcon
Falco femoralis,Aplomado Falcon
Falco femoralis septentrionalis,
Falco femoralis femoralis,
Falco femoralis pichinchae,
Falco chicquera,Red-necked Falcon
Falco chicquera chicquera,
Falco chicquera ruficollis,
Falco chicquera horsbrughi,
Falco mexicanus,Prairie Falcon
Falco hypoleucos,Grey Falcon
Falco fasciinucha,Taita Falcon
Falco peregrinus,Peregrine Falcon
Falco peregrinus tundrius,
Falco peregrinus pealei,
Falco peregrinus anatum,
Falco peregrinus cassini,
Falco peregrinus peregrinus,
Falco peregrinus calidus,
Falco peregrinus japonensis,
Falco peregrinus brookei,
Falco peregrinus peregrinator,
Falco peregrinus furuitii,
Falco peregrinus madens,
Falco peregrinus minor,
Falco peregrinus radama,
Falco peregrinus ernesti,
Falco peregrinus macropus,
Falco peregrinus nesiotes,
Falco peregrinus babylonicus,
Falco peregrinus pelegrinoides,
Falco biarmicus,Lanner Falcon
Falco biarmicus feldeggii,
Falco biarmicus erlangeri,
Falco biarmicus tanypterus,
Falco biarmicus abyssinicus,
Falco biarmicus biarmicus,
Falco jugger,Laggar Falcon
Falco subniger,Black Falcon
Falco rusticolus,Gyrfalcon
Falco cherrug,Saker Falcon
Falco cherrug cherrug,
Falco cherrug coatsi,
Falco cherrug hendersoni,
Falco cherrug milvipes,
Psittaciformes,
Strigopidae,
Strigops,
Strigops habroptilus,Kakapo
Nestor,
Nestor notabilis,Kea
Nestor productus,Norfolk Kaka
Nestor meridionalis,New Zealand Kaka
Nestor meridionalis septentrionalis,
Nestor meridionalis meridionalis,
Cacatuidae,
Calyptorhynchus,
Calyptorhynchus lathami,Glossy Black Cockatoo
Calyptorhynchus lathami erebus,
Calyptorhynchus lathami lathami,
Calyptorhynchus lathami halmaturinus,
Calyptorhynchus banksii,Red-tailed Black Cockatoo
Calyptorhynchus banksii naso,
Calyptorhynchus banksii escondidus,
Calyptorhynchus banksii graptogyne,
Calyptorhynchus banksii samueli,
Calyptorhynchus banksii banksii,
Zanda,
Zanda funerea,Yellow-tailed Black Cockatoo
Zanda funerea funerea,
Zanda funerea whiteae,
Zanda funerea xanthanota,
Zanda latirostris,Carnaby's Black Cockatoo
Zanda baudinii,Baudin's Black Cockatoo
Nymphicus,
Nymphicus hollandicus,Cockatiel
Probosciger,
Probosciger aterrimus,Palm Cockatoo
Probosciger aterrimus stenolophus,
Probosciger aterrimus goliath,
Probosciger aterrimus aterrimus,
Probosciger aterrimus macgillivrayi,
Callocephalon,
Callocephalon fimbriatum,Gang-gang Cockatoo
Eolophus,
Eolophus roseicapilla,Galah
Eolophus roseicapilla albiceps,
Eolophus roseicapilla kuhli,
Eolophus roseicapilla roseicapilla,
Cacatua,
Cacatua leadbeateri,Pink Cockatoo
Cacatua leadbeateri mollis,
Cacatua leadbeateri leadbeateri,
Cacatua haematuropygia,Red-vented Cockatoo
Cacatua goffiniana,Tanimbar Corella
Cacatua ducorpsii,Solomons Corella
Cacatua pastinator,Western Corella
Cacatua pastinator pastinator,
Cacatua pastinator derbyi,
Cacatua sanguinea,Little Corella
Cacatua sanguinea transfreta,
Cacatua sanguinea sanguinea,
Cacatua sanguinea westralensis,
Cacatua sanguinea gymnopis,
Cacatua sanguinea normantoni,
Cacatua tenuirostris,Long-billed Corella
Cacatua alba,White Cockatoo
Cacatua ophthalmica,Blue-eyed Cockatoo
Cacatua moluccensis,Salmon-crested Cockatoo
Cacatua sulphurea,Yellow-crested Cockatoo
Cacatua sulphurea sulphurea,
Cacatua sulphurea abbotti,
Cacatua sulphurea djampeana,
Cacatua sulphurea occidentalis,
Cacatua sulphurea parvula,
Cacatua sulphurea paulandrewi,
Cacatua citrinocristata,Citron-crested Cockatoo
Cacatua galerita,Sulphur-crested Cockatoo
Cacatua galerita triton,
Cacatua galerita eleonora,
Cacatua galerita fitzroyi,
Cacatua galerita galerita,
Psittacidae,
Psittacus,
Psittacus timneh,Timneh Parrot
Psittacus erithacus,Grey Parrot
Psittacus erithacus erithacus,
Psittacus erithacus princeps,
Poicephalus,
Poicephalus fuscicollis,Brown-necked Parrot
Poicephalus fuscicollis fuscicollis,
Poicephalus fuscicollis suahelicus,
Poicephalus robustus,Cape Parrot
Poicephalus gulielmi,Red-fronted Parrot
Poicephalus gulielmi fantiensis,
Poicephalus gulielmi gulielmi,
Poicephalus gulielmi massaicus,
Poicephalus meyeri,Meyer's Parrot
Poicephalus meyeri meyeri,
Poicephalus meyeri saturatus,
Poicephalus meyeri matschiei,
Poicephalus meyeri reichenowi,
Poicephalus meyeri damarensis,
Poicephalus meyeri transvaalensis,
Poicephalus rueppellii,Rüppell's Parrot
Poicephalus rueppellii rueppellii,
Poicephalus rueppellii mariettae,
Poicephalus cryptoxanthus,Brown-headed Parrot
Poicephalus cryptoxanthus tanganyikae,
Poicephalus cryptoxanthus cryptoxanthus,
Poicephalus crassus,Niam-niam Parrot
Poicephalus rufiventris,Red-bellied Parrot
Poicephalus rufiventris pallidus,
Poicephalus rufiventris rufiventris,
Poicephalus senegalus,Senegal Parrot
Poicephalus senegalus senegalus,
Poicephalus senegalus versteri,
Poicephalus flavifrons,Yellow-fronted Parrot
Psilopsiagon,
Psilopsiagon aymara,Grey-hooded Parakeet
Psilopsiagon aurifrons,Mountain Parakeet
Psilopsiagon aurifrons robertsi,
Psilopsiagon aurifrons aurifrons,
Psilopsiagon aurifrons margaritae,
Psilopsiagon aurifrons rubrirostris,
Nannopsittaca,
Nannopsittaca panychlora,Tepui Parrotlet
Nannopsittaca dachilleae,Manu Parrotlet
Bolborhynchus,
Bolborhynchus lineola,Barred Parakeet
Bolborhynchus lineola lineola,
Bolborhynchus lineola tigrinus,
Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet
Bolborhynchus orbygnesius,Andean Parakeet
Touit,
Touit batavicus,Lilac-tailed Parrotlet
Touit huetii,Scarlet-shouldered Parrotlet
Touit costaricensis,Red-fronted Parrotlet
Touit dilectissimus,Blue-fronted Parrotlet
Touit purpuratus,Sapphire-rumped Parrotlet
Touit purpuratus purpuratus,
Touit purpuratus viridiceps,
Touit melanonotus,Brown-backed Parrotlet
Touit surdus,Golden-tailed Parrotlet
Touit stictopterus,Spot-winged Parrotlet
Forpus,
Forpus modestus,Dusky-billed Parrotlet
Forpus modestus modestus,
Forpus modestus sclateri,
Forpus cyanopygius,Mexican Parrotlet
Forpus cyanopygius insularis,
Forpus cyanopygius cyanopygius,
Forpus spengeli,Turquoise-winged Parrotlet
Forpus crassirostris,Riparian Parrotlet
Forpus xanthopterygius,Cobalt-rumped Parrotlet
Forpus xanthopterygius flavescens,
Forpus xanthopterygius flavissimus,
Forpus xanthopterygius xanthopterygius,
Forpus passerinus,Green-rumped Parrotlet
Forpus passerinus cyanophanes,
Forpus passerinus viridissimus,
Forpus passerinus passerinus,
Forpus passerinus cyanochlorus,
Forpus passerinus deliciosus,
Forpus conspicillatus,Spectacled Parrotlet
Forpus conspicillatus conspicillatus,
Forpus conspicillatus metae,
Forpus conspicillatus caucae,
Forpus coelestis,Pacific Parrotlet
Forpus xanthops,Yellow-faced Parrotlet
Myiopsitta,
Myiopsitta luchsi,Cliff Parakeet
Myiopsitta monachus,Monk Parakeet
Myiopsitta monachus cotorra,
Myiopsitta monachus monachus,
Myiopsitta monachus calita,
Brotogeris,
Brotogeris sanctithomae,Tui Parakeet
Brotogeris sanctithomae sanctithomae,
Brotogeris sanctithomae takatsukasae,
Brotogeris tirica,Plain Parakeet
Brotogeris versicolurus,White-winged Parakeet
Brotogeris chiriri,Yellow-chevroned Parakeet
Brotogeris chiriri chiriri,
Brotogeris chiriri behni,
Brotogeris pyrrhoptera,Grey-cheeked Parakeet
Brotogeris jugularis,Orange-chinned Parakeet
Brotogeris jugularis jugularis,
Brotogeris jugularis exsul,
Brotogeris cyanoptera,Cobalt-winged Parakeet
Brotogeris cyanoptera cyanoptera,
Brotogeris cyanoptera gustavi,
Brotogeris cyanoptera beniensis,
Brotogeris chrysoptera,Golden-winged Parakeet
Brotogeris chrysoptera chrysoptera,
Brotogeris chrysoptera tenuifrons,
Brotogeris chrysoptera solimoensis,
Brotogeris chrysoptera tuipara,
Brotogeris chrysoptera chrysosema,
Pionopsitta,
Pionopsitta pileata,Pileated Parrot
Triclaria,
Triclaria malachitacea,Blue-bellied Parrot
Hapalopsittaca,
Hapalopsittaca amazonina,Rusty-faced Parrot
Hapalopsittaca amazonina theresae,
Hapalopsittaca amazonina velezi,
Hapalopsittaca amazonina amazonina,
Hapalopsittaca fuertesi,Fuertes's Parrot
Hapalopsittaca pyrrhops,Red-faced Parrot
Hapalopsittaca melanotis,Black-winged Parrot
Hapalopsittaca melanotis peruviana,
Hapalopsittaca melanotis melanotis,
Pyrilia,
Pyrilia haematotis,Brown-hooded Parrot
Pyrilia haematotis haematotis,
Pyrilia haematotis coccinicollaris,
Pyrilia pulchra,Rose-faced Parrot
Pyrilia pyrilia,Saffron-headed Parrot
Pyrilia barrabandi,Orange-cheeked Parrot
Pyrilia barrabandi barrabandi,
Pyrilia barrabandi aurantiigena,
Pyrilia caica,Caica Parrot
Pyrilia aurantiocephala,Bald Parrot
Pyrilia vulturina,Vulturine Parrot
Graydidascalus,
Graydidascalus brachyurus,Short-tailed Parrot
Alipiopsitta,
Alipiopsitta xanthops,Yellow-faced Parrot
Pionus,
Pionus fuscus,Dusky Parrot
Pionus sordidus,Red-billed Parrot
Pionus sordidus saturatus,
Pionus sordidus ponsi,
Pionus sordidus sordidus,
Pionus sordidus antelius,
Pionus sordidus corallinus,
Pionus sordidus mindoensis,
Pionus maximiliani,Scaly-headed Parrot
Pionus maximiliani maximiliani,
Pionus maximiliani siy,
Pionus maximiliani lacerus,
Pionus maximiliani melanoblepharus,
Pionus tumultuosus,Speckle-faced Parrot
Pionus tumultuosus tumultuosus,
Pionus tumultuosus seniloides,
Pionus menstruus,Blue-headed Parrot
Pionus menstruus rubrigularis,
Pionus menstruus menstruus,
Pionus menstruus reichenowi,
Pionus senilis,White-crowned Parrot
Pionus chalcopterus,Bronze-winged Parrot
Amazona,
Amazona festiva,Festive Amazon
Amazona festiva bodini,
Amazona festiva festiva,
Amazona vinacea,Vinaceous-breasted Amazon
Amazona tucumana,Tucuman Amazon
Amazona pretrei,Red-spectacled Amazon
Amazona viridigenalis,Red-crowned Amazon
Amazona finschi,Lilac-crowned Amazon
Amazona autumnalis,Red-lored Amazon
Amazona autumnalis autumnalis,
Amazona autumnalis salvini,
Amazona lilacina,Lilacine Amazon
Amazona diadema,Diademed Amazon
Amazona dufresniana,Blue-cheeked Amazon
Amazona rhodocorytha,Red-browed Amazon
Amazona arausiaca,Red-necked Amazon
Amazona versicolor,St. Lucia Amazon
Amazona auropalliata,Yellow-naped Amazon
Amazona auropalliata auropalliata,
Amazona auropalliata caribaea,
Amazona auropalliata parvipes,
Amazona oratrix,Yellow-headed Amazon
Amazona oratrix oratrix,
Amazona oratrix belizensis,
Amazona oratrix hondurensis,
Amazona oratrix tresmariae,
Amazona ochrocephala,Yellow-crowned Amazon
Amazona ochrocephala panamensis,
Amazona ochrocephala ochrocephala,
Amazona ochrocephala xantholaema,
Amazona ochrocephala nattereri,
Amazona barbadensis,Yellow-shouldered Amazon
Amazona aestiva,Turquoise-fronted Amazon
Amazona aestiva aestiva,
Amazona aestiva xanthopteryx,
Amazona agilis,Black-billed Amazon
Amazona albifrons,White-fronted Amazon
Amazona albifrons saltuensis,
Amazona albifrons albifrons,
Amazona albifrons nana,
Amazona xantholora,Yucatan Amazon
Amazona collaria,Yellow-billed Amazon
Amazona leucocephala,Cuban Amazon
Amazona leucocephala bahamensis,
Amazona leucocephala leucocephala,
Amazona leucocephala caymanensis,
Amazona leucocephala hesterna,
Amazona ventralis,Hispaniolan Amazon
Amazona vittata,Puerto Rican Amazon
Amazona vittata vittata,
Amazona vittata gracilipes,
Amazona farinosa,Mealy Amazon
Amazona farinosa guatemalae,
Amazona farinosa virenticeps,
Amazona farinosa farinosa,
Amazona kawalli,Kawall's Amazon
Amazona imperialis,Imperial Amazon
Amazona brasiliensis,Red-tailed Amazon
Amazona guildingii,St. Vincent Amazon
Amazona amazonica,Orange-winged Amazon
Amazona mercenarius,Scaly-naped Amazon
Amazona mercenarius canipalliata,
Amazona mercenarius mercenarius,
Deroptyus,
Deroptyus accipitrinus,Red-fan Parrot
Deroptyus accipitrinus accipitrinus,
Deroptyus accipitrinus fuscifrons,
Pionites,
Pionites melanocephalus,Black-headed Parrot
Pionites melanocephalus melanocephalus,
Pionites melanocephalus pallidus,
Pionites leucogaster,White-bellied Parrot
Pionites leucogaster xanthomerius,
Pionites leucogaster xanthurus,
Pionites leucogaster leucogaster,
Rhynchopsitta,
Rhynchopsitta pachyrhyncha,Thick-billed Parrot
Rhynchopsitta terrisi,Maroon-fronted Parrot
Pyrrhura,
Pyrrhura cruentata,Ochre-marked Parakeet
Pyrrhura devillei,Blaze-winged Parakeet
Pyrrhura frontalis,Maroon-bellied Parakeet
Pyrrhura frontalis frontalis,
